SMILES,JAK1,pIC50_JAK1,JAK2,pIC50_JAK2,JAK3,pIC50_JAK3,TYK2,pIC50_TYK2
[C-]#[N+][C@H]1C[C@@H](CF)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccnc(F)c2)n1,0.8,0.096910013,13,-1.113943352,,,,
[C-]#[N+][C@H]1C[C@@H](N2CCC2)CC[C@@H]1n1cc(C(=N)O)c(Nc2ccc(C(F)(F)F)cc2)n1,0.4,0.397940009,23,-1.361727836,,,,
[C-]#[N+][C@H]1C[C@@H](N2CCC2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,0.4,0.397940009,23,-1.361727836,,,,
[C-]#[N+][C@H]1C[C@@H](N2CCC2)CC[C@@H]1n1cc(Nc2ccc(OC(F)F)nc2)c(C(=N)O)c1,4,-0.602059991,67,-1.826074803,,,,
[C-]#[N+][C@H]1C[C@@H](N2CCC2)CC[C@@H]1n1cc(Nc2ccc(OC(F)F)nc2)c(C(N)=O)c1,4,-0.602059991,67,-1.826074803,,,,
[C-]#[N+][C@H]1C[C@@H](OCC2CC2)CC[C@@H]1n1cc(C(=N)O)c(=Nc2ccnc(F)c2)[nH]1,2,-0.301029996,9,-0.954242509,,,,
[C-]#[N+][C@H]1C[C@@H](OCC2CC2)CC[C@H]1n1cc(C(=N)O)c(=Nc2ccnc(F)c2)[nH]1,69,-1.838849091,150,-2.176091259,,,,
[C-]#[N+][C@H]1C[C@@H]1C(=O)N[C@]12CN(c3nc(Nc4ccc(OCCO)nc4)ncc3C)C[C@H]1[C@H]2C,,,,,2999,-3.476976466,,
[C-]#[N+][C@H]1C[C@@H]1C(O)=N[C@@]12CN(c3nc(Nc4cnn(C)c4)ncc3F)C[C@@H]1[C@@H]2C,,,,,,,35,-1.544068044
[C-]#[N+][C@H]1C[C@@H]1C(O)=N[C@@]12CN(c3nc(Nc4cnn(C)c4)ncc3F)C[C@]1(CO)C2,29,-1.462397998,455,-2.658011397,,,58,-1.763427994
[C-]#[N+][C@H]1C[C@H](N2CCC2)CC[C@@H]1n1cc(Nc2ccc(OC(F)F)nc2)c(C(N)=O)c1,5,-0.698970004,87,-1.939519253,,,,
[C-]#[N+][C@H]1C[C@H](O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(OC(F)(F)F)cc2)n1,6,-0.77815125,61,-1.785329835,,,,
[C-]#[N+][C@H]1C[C@H](OC(C)=O)[C@@H](O)C[C@@H]1n1cc(C(=N)O)c(Nc2ccc(C(F)(F)F)cc2)n1,20,-1.301029996,184,-2.264817823,,,,
[C-]#[N+][C@H]1C[C@H](OC(C)=O)[C@@H](O)C[C@@H]1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,20,-1.301029996,184,-2.264817823,,,,
[C-]#[N+][C@H]1C[C@H](OCC2CC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccnc(F)c2)n1,6,-0.77815125,76,-1.880813592,,,,
[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(=N)O)c(=Nc2ccccc2)[nH]1,3,-0.477121255,36,-1.556302501,,,,
[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(=N)O)c(Nc2ccc(/C(C)=N/OC)cc2)n1,0.35,0.455931956,2,-0.301029996,,,,
[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(=N)O)c(Nc2ccc(/C=N/OC)cc2)n1,0.45,0.346787486,2,-0.301029996,,,,
[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(=N)O)c(Nc2ccc(CC(=O)O)cc2)n1,2,-0.301029996,49,-1.69019608,,,,
[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(/C=N/OC)cc2)n1,0.45,0.346787486,2,-0.301029996,,,,
[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(CC(=O)O)cc2)n1,2,-0.301029996,49,-1.69019608,,,,
[C-]#[N+][C@H]1CCCC[C@@H]1n1cc(C(N)=O)c(Nc2ccccc2)n1,3,-0.477121255,36,-1.556302501,,,,
[C-]#[N+][C@H]1CCCC[C@H]1n1cc(C(=N)O)c(Nc2ccc(CC(=O)O)cc2)n1,6,-0.77815125,109,-2.037426498,,,,
[C-]#[N+]C1(c2ccc(Nc3nc(N4CCC[C@@H](NC(=O)N(C)C)C4)cnc3C(N)=O)cc2)CCCC1,,,,,581,-2.764176132,,
[C-]#[N+]C1(CN2[C@H]3CC[C@@H]2CN(c2ccnc(Nc4cn[nH]c4)n2)C3)CC1,153,-2.184691431,453,-2.656098202,,,152,-2.181843588
[C-]#[N+]C1=CCC[C@H](OCC2CC2)C1,21,-1.322219295,74,-1.86923172,,,,
[C-]#[N+]c1ccc(-c2cc3c(N[C@H]4CC[C@@](C)(O)CC4)c(C(=N)O)cnn3c2)cc1,6.1,-0.785329835,,,,,,
[C-]#[N+]c1ccc(-c2cc3c(N[C@H]4CC[C@@](C)(O)CC4)c(C(N)=O)cnn3c2)cc1,6.1,-0.785329835,,,2.9,-0.462397998,,
[C-]#[N+]c1ccc(-c2cc3c(NC4CCC(C)(O)CC4)c(C(N)=O)cnn3c2)cc1,6.1,-0.785329835,,,1.6,-0.204119983,,
[C-]#[N+]c1ccnc(N2[C@H]3CC[C@@H]2CN(c2ccnc(Nc4cnn(C)c4)n2)C3)c1,,,,,,,62,-1.792391689
[C-]#[N+]CC1(N2[C@H]3CC[C@@H]2CN(c2ccnc(Nc4cnn(C)c4)n2)C3)CN(S(C)(=O)=O)C1,7,-0.84509804,21,-1.322219295,1440,-3.158362492,11,-1.041392685
[C-]#[N+]CC1(N2[C@H]3CC[C@@H]2CN(c2ccnc(Nc4cnn(C)c4)n2)C3)COC1,141,-2.149219113,155,-2.190331698,,,,
[N-]=[N+]=NC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,0.33,0.48148606,1.7,-0.230448921,55,-1.740362689,9.2,-0.963787827
[N-]=[N+]=NCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,0.33,0.48148606,1.7,-0.230448921,48,-1.681241237,9.2,-0.963787827
[O-][N+]1=c2ccc(Nc3ccccc3)cc2=NC12CCCCC2,,,5197,-3.715752717,,,,
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,5,-0.698970004,69,-1.838849091,942,-2.974050903,2.6,-0.414973348
Brc1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,21,-1.322219295,71,-1.851258349,,,,
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,200,-2.301029996,290,-2.462397998,350,-2.544068044,150,-2.176091259
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1,270,-2.431363764,2.8,-0.447158031,68,-1.832508913,98,-1.991226076
Brc1nc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,21,-1.322219295,71,-1.851258349,,,,
Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,330,-2.51851394,2.3,-0.361727836,19,-1.278753601,110,-2.041392685
BrCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,0.4,0.397940009,3,-0.477121255,74,-1.86923172,2.6,-0.414973348
C#CC(=O)N1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,,,,,230,-2.361727836,,
C#Cc1ccc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)cc1,,,14300,-4.155336037,,,,
C#Cc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3cc[nH]c(=O)c3)[nH]2)cc1,,,14300,-4.155336037,,,,
C#Cc1ccc(-c2nc(-c3ccnc(O)c3)c(-c3ccc(F)cc3)[nH]2)cc1,,,14300,-4.155336037,,,,
C#Cc1ccc(N(C)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,,,0.055,1.259637311,0.055,1.259637311,,
C#CCCN1CCN(c2ccc(Nc3nc(OC4CCN(C(=O)C=C)CC4)c4c(-c5cncc(NC)n5)c[nH]c4n3)cc2)CC1,,,,,69,-1.838849091,,
C#CCCOC(=O)N1CC[C@@H](n2cc(C(=N)O)c(Nc3ccc(F)cc3)n2)[C@@H](C#N)C1,209,-2.320146286,1386,-3.14176323,,,,
C#CCCOC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,9,-0.954242509,154,-2.187520721,,,,
C#CCCOC(=O)N1CC[C@H](n2cc(C(=N)O)c(Nc3ccc(F)cc3)n2)[C@@H](C#N)C1,9,-0.954242509,154,-2.187520721,,,,
C#CCCOC(=O)N1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,209,-2.320146286,1386,-3.14176323,,,,
C#CCN(c1ccc(C#N)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,,,,,550,-2.740362689,,
C#CCN(c1ccc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,,,550,-2.740362689,,,,
C#CCN(c1ccc(S(C)(=O)=O)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,,,550,-2.740362689,,,,
C#CCN(C1CCOC1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,,,550,-2.740362689,,,,
C#CCNCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,8.5,-0.929418926,44,-1.643452676,,,270,-2.431363764
