SMILES,JAK1,pIC50_JAK1,JAK2,pIC50_JAK2,JAK3,pIC50_JAK3,TYK2,pIC50_TYK2
CC(=O)NCC1CCCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C1,1.66,-0.220108088,15.2,-1.181843588,205,-2.311753861,,
CC(=O)O[C@@H](C)C(=O)N1CCCC12CCCN(c1ncnc3[nH]ccc13)C2,,,,,122,-2.086359831,,
CC(=O)OC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,9.8,-0.991226076,330,-2.51851394,55,-1.740362689,32,-1.505149978
CC(=O)OCC(=O)N1CCCC12CCCN(c1ncnc3[nH]ccc13)C2,,,,,255,-2.40654018,,
CC(=O)OCC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,,,,,150000,-5.176091259,,
CC(=O)SC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,1.9,-0.278753601,36,-1.556302501,491,-2.691081492,28,-1.447158031
CC(=O)SCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,0.94,0.026872146,2.8,-0.447158031,55,-1.740362689,28,-1.447158031
CC(C#N)[C@H]1CC[C@@H](c2nnn3cnc4[nH]ccc4c23)CC1,130,-2.113943352,340,-2.531478917,,,,
CC(C#N)[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,3.1,-0.491361694,6.7,-0.826074803,330,-2.51851394,25,-1.397940009
CC(C#N)=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,,,,,,,450,-2.653212514
CC(C#N)C(=O)N1CC[C@@H](Oc2ccc(-c3ncnc(Nc4ccc(N5CCN(C6COC6)CC5)cc4)n3)cc2C#N)[C@@H](F)C1,,,212000,-5.326335861,,,,
CC(C#N)C(=O)N1CCC(C)C(N(C)c2ncnc3[nH]ccc23)C1,490,-2.69019608,,,17,-1.230448921,,
CC(C#N)C1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCN(C(=O)OC(C)(C)C)CC1,34,-1.531478917,162,-2.209515015,,,,
CC(C#N)C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,130,-2.113943352,6.7,-0.826074803,330,-2.51851394,25,-1.397940009
CC(C(=O)N1CCC(CC#N)(n2cc(C(=N)O)c(=Nc3ccnc(F)c3)[nH]2)CC1)C(F)(F)F,0.3,0.522878745,13,-1.113943352,,,,
CC(C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1)C(F)(F)F,0.3,0.522878745,13,-1.113943352,,,,
CC(C)(C#N)C(=O)N1C[C@H](CF)[C@H](Nc2c(C(=N)O)cnn3cc(-c4cn[nH]c4)nc23)C1,19.8,-1.29666519,,,,,,
CC(C)(C#N)C(=O)N1C[C@H](CF)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cn[nH]c4)nc23)C1,19.8,-1.29666519,,,31,-1.491361694,,
CC(C)(C#N)c1ccc(Nc2nccc(N3C[C@@H]4CC[C@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,60,-1.77815125,192,-2.283301229,,,25,-1.397940009
CC(C)(C#N)CN=C(O)Cc1nc2c[nH]c3nccc-3c2n1[C@H]1CC[C@H](CC#N)CC1,,,,,,,4.8,-0.681241237
CC(C)(C#N)CN=C(O)Cc1nc2c[nH]c3nccc-3c2n1C1CCC(CC#N)CC1,,,69,-1.838849091,,,,
CC(C)(C#N)CNC(=O)Cc1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CC#N)CC1,0.22,0.657577319,5.6,-0.748188027,110,-2.041392685,,
CC(C)(C#N)CNC(=O)Cc1nc2cnc3[nH]ccc3c2n1C1CCC(CC#N)CC1,,,5.6,-0.748188027,98,-1.991226076,39,-1.591064607
CC(C)(C#N)COC(=O)N1CC[C@@H](C#N)[C@H](n2cc(C(=N)O)c(Nc3ccc(F)cc3)n2)C1,1,0,41,-1.612783857,,,,
CC(C)(C#N)COC(=O)N1CC[C@@H](C#N)[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,1,0,41,-1.612783857,,,,
CC(C)(C#N)COC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,15,-1.176091259,411,-2.613841822,,,,
CC(C)(C#N)COC(=O)N1CC[C@H](n2cc(C(=N)O)c(Nc3ccc(F)cc3)n2)[C@@H](C#N)C1,15,-1.176091259,411,-2.613841822,,,,
CC(C)(C(=O)N1CCC(CC#N)(n2cc(C(=N)O)c(=Nc3ccnc(F)c3)[nH]2)CC1)C(F)(F)F,1,0,28,-1.447158031,,,,
CC(C)(C(=O)NCC(F)(F)F)c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cc1,0.2,0.698970004,0.66,0.180456064,,,,
CC(C)(C(=O)O)c1ccc(Nc2nn([C@@H]3CCC(N4CC5(CCC5)C4)C[C@H]3C#N)cc2C(=N)O)cc1,0.25,0.602059991,80,-1.903089987,,,,
CC(C)(C(=O)O)c1ccc(Nc2nn([C@@H]3CCC(N4CCC4)C[C@H]3C#N)cc2C(=N)O)cc1,0.45,0.346787486,98,-1.991226076,,,,
CC(C)(C(=O)O)c1ccc(Nc2nn([C@@H]3CCCC[C@H]3C#N)cc2C(=N)O)cc1,1,0,72,-1.857332496,,,,
CC(C)(C(=O)O)c1ccc(Nc2nn([C@@H]3CCCC[C@H]3C#N)cc2C(N)=O)cc1,0.12,0.920818754,7,-0.84509804,,,,
CC(C)(C(=O)O)c1ccc(Nc2nn([C@H]3CCC(N4CC5(CCC5)C4)C[C@@H]3C#N)cc2C(N)=O)cc1,0.25,0.602059991,80,-1.903089987,,,,
CC(C)(C(=O)O)c1ccc(Nc2nn([C@H]3CCC(N4CCC4)C[C@@H]3C#N)cc2C(N)=O)cc1,0.45,0.346787486,98,-1.991226076,,,,
CC(C)(C(=O)O)c1ccc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)cc1,1,0,72,-1.857332496,,,,
CC(C)(C(=O)O)N1Cc2cc(Nc3nn([C@@H](CC#N)C4CC4)c4ccnc(O)c34)ccc2C1=O,70,-1.84509804,540,-2.73239376,,,,
CC(C)(C(O)=NCC(F)(F)F)c1ccc(Nc2nn([C@@H]3CCCC[C@H]3C#N)cc2C(=N)O)cc1,0.2,0.698970004,0.66,0.180456064,,,,
CC(C)(C)/C(O)=C/c1nc2cc(Cl)ccc2oc1=O,,,9549,-3.979957893,,,,
CC(C)(C)[C@@H](N=C(O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CC(C#N)C1,,,290,-2.462397998,,,,
CC(C)(C)[S@@+]([O-])N[C@@H](c1ccc(Nc2nn([C@@H]3CCCC[C@H]3C#N)c3ccnc(O)c23)cc1)C(F)(F)F,310,-2.491361694,540,-2.73239376,,,,
CC(C)(C)[S@@+]([O-])N[C@@H](c1cccc(N=c2[nH]n([C@@H]3CCCC[C@H]3C#N)c3ccnc(O)c23)c1)C(F)(F)F,460,-2.662757832,13000,-4.113943352,,,,
CC(C)(C)[S@+]([O-])N[C@H](c1ccc(Nc2nn([C@@H]3CCCC[C@H]3C#N)c3ccnc(O)c23)cc1)C(F)(F)F,520,-2.716003344,1500,-3.176091259,,,,
CC(C)(C)[S@+]([O-])N[C@H](c1cccc(N=c2[nH]n([C@@H]3CCCC[C@H]3C#N)c3ccnc(O)c23)c1)C(F)(F)F,1600,-3.204119983,29000,-4.462397998,,,,
CC(C)(C)C(=O)c1c[nH]c2ncc(Nc3ccc(/C=C(/C#N)C(N)=O)cc3)nc12,,,,,0.4,0.397940009,,
CC(C)(C)C(=O)c1c[nH]c2ncc(Nc3ccc(/C=C(/C#N)S(C)(=O)=O)cc3)nc12,,,,,0.6,0.22184875,,
CC(C)(C)C(=O)c1c[nH]c2ncc(Nc3ccc(/C=C(\C#N)C(=O)N4CCC4)cc3)nc12,,,,,0.4,0.397940009,,
CC(C)(C)C(=O)c1c[nH]c2ncc(Nc3ccc(/C=C(\C#N)C(=O)N4CCCCC4)cc3)nc12,,,,,1,0,,
CC(C)(C)C(=O)c1c[nH]c2ncc(Nc3ccc(/C=C(\C#N)c4ccno4)cc3)nc12,,,,,35.1,-1.545307116,,
CC(C)(C)C(=O)c1c[nH]c2ncc(Nc3ccc(/C=C4/SC(=O)NC4=O)cc3)nc12,,,,,580,-2.763427994,,
CC(C)(C)C(=O)c1c[nH]c2ncc(Nc3ccc(/C=C4\SC(=O)N(CCN)C4=O)cc3)nc12,,,,,3,-0.477121255,,
CC(C)(C)C(=O)c1c[nH]c2ncc(Nc3ccc(/C=C4\SC(=O)NC4=O)cc3)nc12,,,,,4,-0.602059991,,
CC(C)(C)C(=O)Cc1nc2cc(Cl)ccc2oc1=O,,,9549,-3.979957893,,,,
CC(C)(C)C(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,138,-2.139879086,570,-2.755874856,,,,
CC(C)(C)C(=O)N1CCC(CC#N)(n2cc(C(=N)O)c(=Nc3ccccc3)[nH]2)CC1,13,-1.113943352,91,-1.959041392,,,,
CC(C)(C)C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,13,-1.113943352,91,-1.959041392,,,,
CC(C)(C)c1cc(NC(=O)CCl)n(-c2ccccc2)n1,,,3759,-3.575072326,,,,
CC(C)(C)c1ccc(NC(=O)N[C@@H]2CCCN(c3nnc(C(N)=O)c(Nc4ccc(C(=O)N5CCOCC5)cc4)n3)C2)cc1,,,,,550,-2.740362689,,
CC(C)(C)c1nc2c3cc[nH]c(=O)c3c3cc(F)ccc3c2[nH]1,15,-1.176091259,1,0,5,-0.698970004,1,0
CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,15,-1.176091259,1,0,967,-2.985426474,1,0
CC(C)(C)CC(=O)N1CCC(CC#N)(n2cc(C(=N)O)c(=Nc3ccnc(F)c3)[nH]2)CC1,0.6,0.22184875,44,-1.643452676,,,,
CC(C)(C)CC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1,0.6,0.22184875,44,-1.643452676,,,,
CC(C)(C)CC(C)(C)NC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,185,-2.267171728,1481,-3.170555059,,,,
CC(C)(C)CCOC(=O)N1CC[C@@H](C#N)[C@H](n2cc(C(=N)O)c(Nc3ccc(F)cc3)n2)C1,8,-0.903089987,117,-2.068185862,,,,
CC(C)(C)CN=c1[nH]c2ccnc(O)c2cc1-c1ccc(F)cc1,,,29000,-4.462397998,,,,
CC(C)(C)CNC(c1ccc(Nc2nn([C@@H]3COCC[C@H]3C#N)c3ccnc(O)c23)cc1)C(F)(F)F,870,-2.939519253,2560,-3.408239965,,,,
CC(C)(C)CNc1c(C(=N)O)cnn2cc(-c3ccccc3)cc12,33,-1.51851394,110,-2.041392685,,,70,-1.84509804
CC(C)(C)CNc1nc2cc[nH]c(=O)c2cc1-c1ccc(F)cc1,,,29000,-4.462397998,,,,
CC(C)(C)COC(=O)N1CC(CC#N)(n2cc(C(=N)O)c(=Nc3ccccc3)[nH]2)C1,18,-1.255272505,373,-2.571708832,,,,
CC(C)(C)COC(=O)N1CC[C@@H](C#N)[C@H](n2cc(C(=N)O)c(Nc3ccc(F)cc3)n2)C1,6,-0.77815125,145,-2.161368002,,,,
CC(C)(C)COC(=O)N1CC[C@@H](n2cc(C(=N)O)c(Nc3ccc(F)cc3)n2)[C@@H](C#N)C1,625,-2.795880017,,,,,,
CC(C)(C)COC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,97,-1.986771734,1460,-3.164352856,,,,
CC(C)(C)COC(=O)N1CC[C@H](n2cc(C(=N)O)c(Nc3ccc(F)cc3)n2)[C@@H](C#N)C1,132,-2.120573931,1460,-3.164352856,,,,
CC(C)(C)COC(=O)N1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,625,-2.795880017,,,,,,
CC(C)(C)COC(=O)N1CCC(CC#N)(n2cc(C(=N)O)c(=Nc3ccccc3)[nH]2)CC1,6,-0.77815125,249,-2.396199347,,,,
CC(C)(C)COC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,6,-0.77815125,249,-2.396199347,,,,
CC(C)(C)CS(=O)(=O)N1CCC[C@H](N=C(O)Nc2cnc3[nH]ccc3n2)C1,15,-1.176091259,16,-1.204119983,,,,
CC(C)(C)CS(=O)(=O)N1CCC[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,,,24,-1.380211242,3.1,-0.491361694,,
CC(C)(C)N[C@@H]1CC[C@@H](n2cc(C(=N)O)c(Nc3ccc(Cl)cc3)n2)[C@H](C#N)C1,1,0,18,-1.255272505,,,,
CC(C)(C)N[C@@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc([C@H](O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,0.4,0.397940009,23,-1.361727836,,,,
CC(C)(C)N[C@@H]1CCC(n2cc(C(=N)O)c(Nc3ccc(C(F)(F)F)cc3)n2)[C@H](C#N)C1,0.2,0.698970004,26,-1.414973348,,,,
CC(C)(C)N[C@H](c1ccc(Nc2nn([C@]3(CC#N)CCOC[C@@H]3F)c3ccnc(O)c23)cc1)C(F)(F)F,0.11,0.958607315,4.78,-0.679427897,,,,
CC(C)(C)N[C@H]1CC[C@@H](n2cc(C(=N)O)c(Nc3ccc([C@@H](O)C(F)(F)F)cc3)n2)[C@H](C#N)C1,0.4,0.397940009,23,-1.361727836,,,,
CC(C)(C)N[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)[C@@H](C#N)C1,0.2,0.698970004,26,-1.414973348,,,,
CC(C)(C)N[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccccc3)n2)[C@@H](C#N)C1,0.8,0.096910013,28,-1.447158031,,,,
CC(C)(C)N=C(O)[C@H]1CC[C@H](n2cc(C(=N)O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1,47,-1.672097858,425,-2.62838893,,,,
CC(C)(C)N=C(O)Nc1ccc(-c2ccc3[nH][nH]c(=N)c3c2)cc1,,,3900,-3.591064607,,,,
CC(C)(C)n1cc(Nc2ncnc(-c3ccc(O[C@@H]4CCN(C(=O)[C@H](O)CO)C[C@@H]4F)c(C#N)c3)n2)cn1,,,228000,-5.357934847,,,,
CC(C)(C)n1cc(Nc2ncnc(-c3ccc(O[C@@H]4CCN(C(=O)CC#N)C[C@@H]4F)c(C#N)c3)n2)cn1,,,108000,-5.033423755,,,,
CC(C)(C)n1cc(Nc2ncnc(-c3ccc(O[C@@H]4CCN(C(=O)CCO)C[C@@H]4F)c(C#N)c3)n2)cn1,,,223000,-5.348304863,,,,
CC(C)(C)n1cc(Nc2ncnc(-c3ccc(O[C@@H]4CCN(C(=O)CO)C[C@@H]4F)c(C#N)c3)n2)cn1,,,190000,-5.278753601,,,,
CC(C)(C)N1Cc2cc(Nc3nn([C@@H](CC#N)C4CC4)c4ccnc(O)c34)ccc2S1(=O)=O,40,-1.602059991,280,-2.447158031,,,,
CC(C)(C)N1Cc2cc(Nc3nn([C@@H]4CCCC[C@H]4C#N)c4ccnc(O)c34)ccc2C1=O,69,-1.838849091,480,-2.681241237,,,,
CC(C)(C)N1Cc2cc(Nc3nn([C@@H]4CCCC[C@H]4C#N)c4ccnc(O)c34)ccc2S1(=O)=O,39,-1.591064607,190,-2.278753601,,,,
CC(C)(C)N1Cc2cc(Nc3nn([C@]4(CC#N)CC[C@@H](N5CC(F)C5)CC4)c4ccnc(O)c34)ccc2S1(=O)=O,0.21,0.677780705,,,,,,
CC(C)(C)N1Cc2cc(Nc3nn([C@]4(CC#N)CC[C@H](N5CC(F)C5)CC4)c4ccnc(O)c34)ccc2S1(=O)=O,0.83,0.080921908,6.85,-0.835690571,,,,
CC(C)(C)N1Cc2cc(Nc3nn([C@]4(CC#N)CCOC[C@@H]4F)c4ccnc(O)c34)ccc2C1=O,0.26,0.585026652,2.35,-0.371067862,,,,
CC(C)(C)N1Cc2cc(Nc3nn([C@H]4CCCCC[C@H]4C#N)c4ccnc(O)c34)ccc2S1(=O)=O,460,-2.662757832,3000,-3.477121255,,,,
CC(C)(C)N1Cc2cc(Nc3nn(C4(CC#N)CCCC4)c4ccnc(O)c34)ccc2S1(=O)=O,0.04,1.397940009,0.51,0.292429824,,,,
CC(C)(C)N1Cc2cc(Nc3nn(C4(CC#N)CCOCC4)c4ccnc(O)c34)ccc2S1(=O)=O,0.06,1.22184875,0.78,0.107905397,,,,
CC(C)(C)N1CCN(Cc2ccc3c(c2)[nH]c2c(C(=N)O)cc(-c4cccc(Cl)c4)nc23)CC1,,,1,0,,,,
CC(C)(C)N1CCN(Cc2ccc3c(c2)[nH]c2c(C(N)=O)cc(-c4cccc(Cl)c4)nc23)CC1,,,1,0,,,,
CC(C)(C)NC(=O)[C@@H]1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@H](C#N)C1,47,-1.672097858,425,-2.62838893,,,,
CC(C)(C)NC(=O)c1ccc(-c2ccc3[nH][nH]c(=N)c3c2)cc1,,,1950,-3.290034611,,,,
CC(C)(C)NC(=O)c1ccc(-c2ccc3[nH]nc(N)c3c2)cc1,,,1950,-3.290034611,,,,
CC(C)(C)NC(=O)c1cncc(Nc2nn([C@H]3CCCC[C@@H]3C#N)cc2C(N)=O)c1,60,-1.77815125,285,-2.45484486,,,,
CC(C)(C)NC(=O)c1cnn2ccc(N3CCCC3c3cc(F)cnc3CO)nc12,,,869,-2.939019776,,,,
CC(C)(C)NC(=O)Nc1ccc(-c2ccc3[nH]nc(N)c3c2)cc1,,,3900,-3.591064607,,,,
CC(C)(C)NC(c1ccc(N=c2[nH]n([C@@H](CC#N)C3CC3)c3ccnc(O)c23)cc1Cl)C(F)(F)F,3620,-3.558708571,10010,-4.000434077,,,,
CC(C)(C)NC(c1ccc(N=c2[nH]n([C@@H](CC#N)C3CC3)c3ccnc(O)c23)cc1F)C(F)(F)F,2560,-3.408239965,4030,-3.605305046,,,,
CC(C)(C)NC(c1ccc(Nc2nn([C@@H](CC#N)C3CC3)c3ccnc(O)c23)cc1)C(F)(F)F,460,-2.662757832,730,-2.86332286,,,,
CC(C)(C)NC(c1ccc(Nc2nn([C@@H]3COCC[C@H]3C#N)c3ccnc(O)c23)cc1)C(F)(F)F,80,-1.903089987,140,-2.146128036,,,,
CC(C)(C)NC(c1ccc(Nc2nn([C@]3(CC#N)CC[C@@H](C(=O)OC(C)(C)C)OC3)c3ccnc(O)c23)cc1)C(F)(F)F,0.56,0.251811973,0.82,0.086186148,,,,
CC(C)(C)NC(c1ccc(Nc2nn([C@]3(CC#N)CCCOC3)c3ccnc(O)c23)cc1)C(F)(F)F,0.21,0.677780705,0.38,0.420216403,,,,
CC(C)(C)NC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,,,,,,,490,-2.69019608
CC(C)(C)NS(=O)(=O)c1ccc(-c2cc(Cl)c3[nH][nH]c(=N)c3c2)cc1,,,1220,-3.086359831,,,,
CC(C)(C)NS(=O)(=O)c1ccc(-c2cc(Cl)c3[nH]nc(N)c3c2)cc1,,,1220,-3.086359831,,,,
CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(=N)[nH]cc(C(O)=NCCN4CCCCC4)c3s2)cc1,,,2130,-3.328379603,,,,
CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCN4CCCCC4)c3s2)cc1,654,-2.815577748,5,-0.698970004,,,,
CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCN4CCOCC4)c3s2)cc1,177,-2.247973266,1620,-3.209515015,,,757,-2.87909588
CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCO)c3s2)cc1,78,-1.892094603,8,-0.903089987,,,,
CC(C)(C)NS(=O)(=O)c1ccc(-c2ccc3[nH][nH]c(=N)c3c2)c(Cl)c1,,,39,-1.591064607,,,,
CC(C)(C)NS(=O)(=O)c1ccc(-c2ccc3[nH][nH]c(=N)c3c2)cc1,,,78,-1.892094603,,,,
CC(C)(C)NS(=O)(=O)c1ccc(-c2ccc3[nH]nc(N)c3c2)c(Cl)c1,,,39,-1.591064607,,,,
CC(C)(C)NS(=O)(=O)c1ccc(Nc2nn([C@@H](CC#N)C3CC3)c3ccnc(O)c23)cc1,140,-2.146128036,340,-2.531478917,,,,
CC(C)(C)NS(=O)(=O)c1ccc(Nc2nn([C@@H]3COCC[C@H]3C#N)c3ccnc(O)c23)cc1,80,-1.903089987,210,-2.322219295,,,,
CC(C)(C)NS(=O)(=O)c1ccc(Nc2nn([C@]3(CC#N)CCCOC3)c3ccnc(O)c23)cc1,0.2,0.698970004,0.6,0.22184875,,,,
CC(C)(C)NS(=O)(=O)c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)C(C)(F)F)CC3)c3ccnc(O)c23)cc1,0.12,0.920818754,0.19,0.721246399,,,,
CC(C)(C)NS(=O)(=O)c1ccc(Nc2nn(C3CCC[C@H]3C#N)c3ccnc(O)c23)cc1,220,-2.342422681,480,-2.681241237,,,,
CC(C)(C)NS(=O)(=O)c1cccc(-c2ccc3[nH]nc(N)c3c2)c1,,,3550,-3.550228353,,,,
CC(C)(C)NS(=O)(=O)c1cccc(-c2ccc3cnc(=Nc4ccc(C5CCN(CC(=N)O)CC5)cc4)[nH]n23)c1,,,90,-1.954242509,,,,
CC(C)(C)NS(=O)(=O)c1cccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1,,,0.64,0.193820026,,,,
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,4365.16,-3.640000167,,,,,,
CC(C)(C)NS(=O)(=O)N1CCC[C@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,,,0.2215,0.654626269,0.4,0.397940009,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2[nH]c(=Nc3ccc4c(c3)N=C(O)C4(C)C)c3c(O)nccc32)CO1,0.07,1.15490196,0.12,0.920818754,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2[nH]c(=Nc3ccccc3)c3c(O)nccc32)CO1,0.12,0.920818754,1.62,-0.209515015,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2[nH]c(=Nc3cnc4ccccc4c3)c3c(O)nccc32)CO1,0.35,0.455931956,5.29,-0.723455672,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc([C@@H](N)C(F)(F)F)cc3)c3c(O)nccc32)CO1,0.18,0.744727495,0.49,0.30980392,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc([C@H](N)C(F)(F)F)cc3)c3c(O)nccc32)CO1,0.19,0.721246399,0.57,0.244125144,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(C(C)(O)C(F)(F)F)cc3)c3c(O)nccc32)CO1,0.14,0.853871964,0.48,0.318758763,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(C(N)C(F)(F)F)cc3)c3c(O)nccc32)CO1,0.07,1.15490196,0.27,0.568636236,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(C(O)(C(C)(C)C)C(F)(F)F)cc3)c3c(O)nccc32)CO1,1.28,-0.10720997,4.32,-0.635483747,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(C(O)C(F)(F)F)cc3)c3c(O)nccc32)CO1,0.12,0.920818754,0.51,0.292429824,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(C4(C(F)(F)F)CCCCN4)cc3)c3c(O)nccc32)CO1,0.25,0.602059991,0.35,0.455931956,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(C4(C(F)(F)F)CCNC4)cc3)c3c(O)nccc32)CO1,0.15,0.823908741,0.24,0.619788758,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(Cn4ccnn4)cc3)c3c(O)nccc32)CO1,0.07,1.15490196,0.34,0.468521083,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(Cn4nccn4)cc3)c3c(O)nccc32)CO1,0.09,1.045757491,0.14,0.853871964,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(S(=O)(=O)C(C)(C)C)cc3)c3c(O)nccc32)CO1,0.14,0.853871964,0.21,0.677780705,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(S(=O)(=O)C4CC4)cc3)c3c(O)nccc32)CO1,0.12,0.920818754,0.25,0.602059991,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(S(=O)(=O)N4CCOCC4)cc3)c3c(O)nccc32)CO1,0.15,0.823908741,0.27,0.568636236,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc(S(C)(=O)=O)cc3)c3c(O)nccc32)CO1,2.06,-0.31386722,14.6,-1.164352856,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc4c(c3)CN(C(C)(C)C)C4=O)c3c(O)nccc32)CO1,0.14,0.853871964,0.26,0.585026652,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc4c(c3)CN(C3CCCC3)C4=O)c3c(O)nccc32)CO1,0.1,1,0.2,0.698970004,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc4c(c3)CN(C3CCCCC3)C4=O)c3c(O)nccc32)CO1,0.18,0.744727495,0.4,0.397940009,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc4c(c3)CN(CC(F)(F)F)C4=O)c3c(O)nccc32)CO1,0.07,1.15490196,0.2,0.698970004,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc4c(c3)CN(CC(F)(F)F)S4(=O)=O)c3c(O)nccc32)CO1,0.14,0.853871964,0.37,0.431798276,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc4nc(C#N)ccc4c3)c3c(O)nccc32)CO1,0.14,0.853871964,1.16,-0.064457989,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc4nc(C(N)=O)ccc4c3)c3c(O)nccc32)CO1,0.07,1.15490196,0.82,0.086186148,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc4nc(N5CCOCC5)ccc4c3)c3c(O)nccc32)CO1,0.15,0.823908741,0.76,0.119186408,,,,
CC(C)(C)OC(=O)[C@@H]1CC[C@@](CC#N)(n2nc(Nc3ccc4ncccc4c3)c3c(O)nccc32)CO1,0.07,1.15490196,0.63,0.200659451,,,,
