SMILES,JAK1,JAK1_true,JAK1_IC50,pIC50_JAK1,JAK2,JAK2_true,JAK2_IC50,pIC50_JAK2,JAK3,JAK3_true,JAK3_IC50,pIC50_JAK3,TYK2,TYK2_true,TYK2_IC50,pIC50_TYK2
CC[n+]1c(C=CN(C)c2ccccc2)n(-c2ccccc2)c2ccc(-c3nc4ccccc4s3)cc21,103.81,0,20000,-4.301029996,98.83,0,20000,-4.301029996,106.39,0,20000,-4.301029996,88.52,0,3855.400697,-3.586069522
O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,100.92,0,20000,-4.301029996,102.61,0,20000,-4.301029996,86.16,0,3112.716763,-3.493139605,89.22,0,4138.218924,-3.616813462
c1ccc(-c2n[nH]c3c2oc2ccccc23)cc1,103.97,0,20000,-4.301029996,89.8,0,4401.960784,-3.643646169,131.81,0,20000,-4.301029996,89.22,0,4138.218924,-3.616813462
Cn1nc2c3c(cccc31)C(=O)c1ccccc1-2,109.85,0,20000,-4.301029996,95.93,0,11785.01229,-4.07133004,107.42,0,20000,-4.301029996,89.36,0,4199.24812,-3.623171536
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,107.36,0,20000,-4.301029996,105.8,0,20000,-4.301029996,92.09,0,5821.112516,-3.765005994,89.43,0,4230.368969,-3.626378248
CC(N)C1CCC(C(=O)Nc2ccncc2)CC1,108.43,0,20000,-4.301029996,97.69,0,20000,-4.301029996,93.54,0,7239.93808,-3.859734852,89.9,0,4450.49505,-3.648408322
CCOC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccccc32)c1C,97.06,0,16506.80272,-4.217662961,96.7,0,14651.51515,-4.165882538,69.08,0,1117.076326,-3.048082848,89.91,0,4455.401388,-3.648886836
CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,96.6,0,14205.88235,-4.152468214,102.9,0,20000,-4.301029996,98.29,0,20000,-4.301029996,90.23,0,4617.707267,-3.664426398
O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)[nH]n1-c1ccc(Cl)cc1,103.26,0,20000,-4.301029996,95.09,0,9683.299389,-3.98602336,106.44,0,20000,-4.301029996,90.86,0,4970.459519,-3.696396541
O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,91.83,0,5619.95104,-3.749732532,96.5,0,13785.71429,-4.139429273,87.8,0,3598.360656,-3.55610469,92.14,0,5861.323155,-3.767995666
Nc1ncnc2n[nH]c(Nc3ccc(F)cc3)c12,98.98,0,20000,-4.301029996,105.03,0,20000,-4.301029996,102.19,0,20000,-4.301029996,92.28,0,5976.683938,-3.77646029
COc1cccc(-c2cc(=O)c3ccccc3o2)c1N,98.91,0,20000,-4.301029996,103.95,0,20000,-4.301029996,96.88,0,15525.64103,-4.191049541,92.68,0,6330.601093,-3.801444948
NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,98.82,0,20000,-4.301029996,106.83,0,20000,-4.301029996,95.72,0,11182.24299,-4.048528925,93.46,0,7145.259939,-3.854018033
O=C(Nc1nc2ccccc2n1CCN1CCOCC1)c1cccc([N+](=O)[O-])c1,98.9,0,20000,-4.301029996,101.2,0,20000,-4.301029996,99.34,0,20000,-4.301029996,93.52,0,7216.049383,-3.858299497
O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,105.82,0,20000,-4.301029996,99.88,0,20000,-4.301029996,110.11,0,20000,-4.301029996,93.97,0,7791.873964,-3.891641919
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,103.56,0,20000,-4.301029996,101.4,0,20000,-4.301029996,95.3,0,10138.29787,-4.005965047,94.04,0,7889.261745,-3.897036365
CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl,99.21,0,20000,-4.301029996,96.94,0,15839.86928,-4.199751593,88.94,0,4020.79566,-3.604312002,95.19,0,9895.010395,-3.995416255
CC(C)C(CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,107.54,0,20000,-4.301029996,97.73,0,20000,-4.301029996,92.49,0,6157.789614,-3.789424847,95.19,0,9895.010395,-3.995416255
O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,104.59,0,20000,-4.301029996,105.05,0,20000,-4.301029996,108.01,0,20000,-4.301029996,95.79,0,11376.48456,-4.056008082
Cn1sc(=O)n(Cc2ccccc2)c1=O,103.45,0,20000,-4.301029996,91.59,0,5445.30321,-3.736022068,106.23,0,20000,-4.301029996,96.04,0,12126.26263,-4.08372697
CSc1nc(-c2ccnc(NC(C)c3ccccc3)c2)c(-c2ccc(F)cc2)[nH]1,103.58,0,20000,-4.301029996,102.29,0,20000,-4.301029996,98.54,0,20000,-4.301029996,96.48,0,13704.54545,-4.136864636
O=C(CCCc1ccc(-c2ccccc2F)cc1)Nc1ccc(O)cc1,98.18,0,20000,-4.301029996,98.51,0,20000,-4.301029996,92.06,0,5797.229219,-3.763220472,96.5,0,13785.71429,-4.139429273
COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC,81.49,0,2201.242572,-3.342667903,94.96,0,9420.634921,-3.974080174,100.27,0,20000,-4.301029996,96.52,0,13867.81609,-4.142008074
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21,104.74,0,20000,-4.301029996,104.43,0,20000,-4.301029996,105.55,0,20000,-4.301029996,96.71,0,14697.56839,-4.16724549
O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cnccn1,116.87,0,20000,-4.301029996,97.81,0,20000,-4.301029996,134.23,0,20000,-4.301029996,96.88,0,15525.64103,-4.191049541
N#CC(=Cc1ccc(O)c(O)c1)C(=O)NCc1ccccc1,93.83,0,7603.727715,-3.881026557,98.13,0,20000,-4.301029996,97.17,0,17167.84452,-4.234715771,97.09,0,16682.13058,-4.222251516
N#CC(=Cc1ccc(O)cc1)C(N)=C(C#N)C#N,99.4,0,20000,-4.301029996,101.85,0,20000,-4.301029996,102.08,0,20000,-4.301029996,97.35,0,18367.92453,-4.264060086
CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,104.03,0,20000,-4.301029996,97.43,0,18955.25292,-4.277729584,-0.18,1,-0.898382911,,106.39,0,20000,-4.301029996
CC(C)n1cnc2c(Nc3cccc(Cl)c3)nc(NCCO)nc21,102.71,0,20000,-4.301029996,100.73,0,20000,-4.301029996,24.68,1,163.834307,-2.214404848,105.38,0,20000,-4.301029996
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,100.62,0,20000,-4.301029996,100.21,0,20000,-4.301029996,62.98,1,850.6212858,-2.929736246,109.08,0,20000,-4.301029996
Nc1[nH]nc2nc3ccccc3nc12,99.85,0,20000,-4.301029996,105.21,0,20000,-4.301029996,67.96,0,1060.549313,-3.025530867,107.21,0,20000,-4.301029996
O=C(O)/C=C/c1cc(Br)c(Br)c(Br)c1Br,98.85,0,20000,-4.301029996,101.04,0,20000,-4.301029996,71.84,0,1275.568182,-3.105703678,110.4,0,20000,-4.301029996
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,112.49,0,20000,-4.301029996,97.48,0,19341.26984,-4.286484984,80.92,0,2120.545073,-3.326447508,102.57,0,20000,-4.301029996
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,98.99,0,20000,-4.301029996,97.42,0,18879.84496,-4.275998424,88.5,0,3847.826087,-3.585215435,98.13,0,20000,-4.301029996
O=C1c2ccccc2-[n+]2ccc3c([nH]c4ccccc43)c21,96.84,0,15322.78481,-4.185337702,91.61,0,5459.475566,-3.737150927,88.96,0,4028.985507,-3.605195705,98.34,0,20000,-4.301029996
CN(C)CC1CCn2c(c(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)C1,108.23,0,20000,-4.301029996,98.56,0,20000,-4.301029996,89.45,0,4239.336493,-3.62729789,104.31,0,20000,-4.301029996
Cc1nc(-c2ccccc2)c(-c2ccncc2)o1,103.26,0,20000,-4.301029996,98.43,0,20000,-4.301029996,90.68,0,4864.806867,-3.687065603,109.41,0,20000,-4.301029996
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,91.22,0,5194.76082,-3.715565556,99.13,0,20000,-4.301029996,91.28,0,5233.944954,-3.718829151,99.6,0,20000,-4.301029996
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,90.41,0,4713.764338,-3.673367866,97.44,0,19031.25,-4.279467314,91.59,0,5445.30321,-3.736022068,98.14,0,20000,-4.301029996
Oc1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,97.05,0,16449.15254,-4.216143528,101.29,0,20000,-4.301029996,92.21,0,5918.485237,-3.772210569,109.62,0,20000,-4.301029996
Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3c(c2)OCO3)n1,96.11,0,12353.47044,-4.09178898,103.49,0,20000,-4.301029996,92.58,0,6238.544474,-3.795083275,101.89,0,20000,-4.301029996
O=[N+]([O-])C=Cc1ccc2c(c1)OCO2,99.79,0,20000,-4.301029996,96.8,0,15125,-4.179695383,92.78,0,6425.207756,-3.807887175,98.62,0,20000,-4.301029996
